char,kFrequency,kGradeLevel,kTotalStrokes
一,1,1,1
乙,4,1,1
了,1,1,2
人,1,1,2
二,2,1,2
入,2,1,2
八,2,1,2
力,2,1,2
十,2,1,2
又,2,1,2
七,3,1,2
九,3,1,2
丁,4,1,2
上,1,1,3
下,1,1,3
也,1,1,3
大,1,1,3
子,1,1,3
小,1,1,3
工,1,1,3
三,2,1,3
口,2,1,3
女,2,1,3
山,2,1,3
己,2,1,3
已,2,1,3
才,2,1,3
巾,5,1,3
不,1,1,4
中,1,1,4
以,1,1,4
心,1,1,4
五,2,1,4
今,2,1,4
元,2,1,4
公,2,1,4
六,2,1,4
分,2,1,4
友,2,1,4
太,2,1,4
少,2,1,4
手,2,1,4
方,2,1,4
日,2,1,4
月,2,1,4
比,2,1,4
水,2,1,4
片,2,1,4
升,3,1,4
午,3,1,4
巴,3,1,4
木,3,1,4
毛,3,1,4
火,3,1,4
牛,3,1,4
牙,4,1,4
匹,5,1,4
爪,5,1,4
他,1,1,5
出,1,1,5
去,1,1,5
可,1,1,5
本,1,1,5
生,1,1,5
用,1,1,5
功,2,1,5
加,2,1,5
叫,2,1,5
四,2,1,5
外,2,1,5
打,2,1,5
正,2,1,5
白,2,1,5
仔,3,1,5
包,3,1,5
半,3,1,5
句,3,1,5
右,3,1,5
司,3,1,5
左,3,1,5
布,3,1,5
母,3,1,5
田,3,1,5
甲,3,1,5
石,3,1,5
丙,4,1,5
冬,4,1,5
瓜,4,1,5
禾,5,1,5
交,1,1,6
同,1,1,6
在,1,1,6
多,1,1,6
好,1,1,6
年,1,1,6
有,1,1,6
自,1,1,6
那,1,1,6
件,2,1,6
先,2,1,6
光,2,1,6
全,2,1,6
共,2,1,6
再,2,1,6
吃,2,1,6
各,2,1,6
名,2,1,6
向,2,1,6
回,2,1,6
她,2,1,6
字,2,1,6
次,2,1,6
竹,2,1,6
老,2,1,6
色,2,1,6
行,2,1,6
西,2,1,6
忙,3,1,6
早,3,1,6
肉,3,1,6
池,4,1,6
米,4,1,6
羊,4,1,6
耳,4,1,6
衣,4,1,6
汗,5,1,6
你,1,1,7
我,1,1,7
沒,1,1,7
位,2,1,7
住,2,1,7
作,2,1,7
吧,2,1,7
完,2,1,7
弟,2,1,7
快,2,1,7
找,2,1,7
把,2,1,7
每,2,1,7
男,2,1,7
花,2,1,7
見,2,1,7
走,2,1,7
身,2,1,7
車,2,1,7
近,2,1,7
低,3,1,7
冷,3,1,7
呀,3,1,7
坐,3,1,7
步,3,1,7
角,3,1,7
吹,4,1,7
姊,4,1,7
尾,4,1,7
肚,4,1,7
冶,5,1,7
來,1,1,8
到,1,1,8
果,1,1,8
法,1,1,8
的,1,1,8
知,1,1,8
事,2,1,8
些,2,1,8
兒,2,1,8
兩,2,1,8
呢,2,1,8
明,2,1,8
朋,2,1,8
服,2,1,8
東,2,1,8
板,2,1,8
林,2,1,8
物,2,1,8
玩,2,1,8
空,2,1,8
長,2,1,8
門,2,1,8
妹,3,1,8
姐,3,1,8
店,3,1,8
怕,3,1,8
房,3,1,8
抱,3,1,8
拉,3,1,8
易,3,1,8
油,3,1,8
狗,3,1,8
雨,3,1,8
青,3,1,8
兔,4,1,8
刷,4,1,8
姓,4,1,8
忽,4,1,8
拍,4,1,8
杯,4,1,8
枝,4,1,8
河,4,1,8
泥,4,1,8
爬,4,1,8
爸,4,1,8
肯,4,1,8
佰,5,1,8
信,1,1,9
前,1,1,9
很,1,1,9
後,1,1,9
是,1,1,9
看,1,1,9
要,1,1,9
便,2,1,9
哈,2,1,9
孩,2,1,9
室,2,1,9
指,2,1,9
故,2,1,9
星,2,1,9
級,2,1,9
重,2,1,9
面,2,1,9
音,2,1,9
風,2,1,9
亮,3,1,9
客,3,1,9
春,3,1,9
昨,3,1,9
甚,3,1,9
穿,3,1,9
約,3,1,9
紅,3,1,9
草,3,1,9
追,3,1,9
送,3,1,9
香,3,1,9
咬,4,1,9
娃,4,1,9
屋,4,1,9
洗,4,1,9
洞,4,1,9
盃,4,1,9
秋,4,1,9
耍,4,1,9
茶,4,1,9
逃,4,1,9
食,4,1,9
個,1,1,10
們,1,1,10
家,1,1,10
時,1,1,10
真,1,1,10
站,1,1,10
能,1,1,10
這,1,1,10
都,1,1,10
候,2,1,10
容,2,1,10
師,2,1,10
拿,2,1,10
校,2,1,10
氣,2,1,10
留,2,1,10
破,2,1,10
笑,2,1,10
記,2,1,10
起,2,1,10
造,2,1,10
高,2,1,10
倒,3,1,10
哥,3,1,10
害,3,1,10
旁,3,1,10
根,3,1,10
條,3,1,10
病,3,1,10
紙,3,1,10
隻,3,1,10
哭,4,1,10
夏,4,1,10
扇,4,1,10
桃,4,1,10
桌,4,1,10
粉,4,1,10
捉,5,1,10
問,1,1,11
得,1,1,11
現,1,1,11
過,1,1,11
做,2,1,11
動,2,1,11
常,2,1,11
張,2,1,11
強,2,1,11
從,2,1,11
情,2,1,11
掉,2,1,11
接,2,1,11
教,2,1,11
清,2,1,11
球,2,1,11
眼,2,1,11
第,2,1,11
進,2,1,11
隊,2,1,11
假,3,1,11
停,3,1,11
唱,3,1,11
堆,3,1,11
彩,3,1,11
排,3,1,11
晚,3,1,11
深,3,1,11
細,3,1,11
習,3,1,11
週,3,1,11
陽,3,1,11
魚,3,1,11
鳥,3,1,11
婆,4,1,11
掃,4,1,11
掛,4,1,11
採,4,1,11
晨,4,1,11
涼,4,1,11
淨,4,1,11
甜,4,1,11
船,4,1,11
菜,4,1,11
就,1,1,12
最,1,1,12
道,1,1,12
喜,2,1,12
場,2,1,12
幾,2,1,12
換,2,1,12
期,2,1,12
畫,2,1,12
等,2,1,12
結,2,1,12
給,2,1,12
開,2,1,12
黃,2,1,12
勝,3,1,12
塊,3,1,12
痛,3,1,12
筆,3,1,12
答,3,1,12
落,3,1,12
葉,3,1,12
跑,3,1,12
遊,3,1,12
雲,3,1,12
黑,3,1,12
喝,4,1,12
帽,4,1,12
晴,4,1,12
椅,4,1,12
游,4,1,12
短,4,1,12
窗,4,1,12
街,4,1,12
跌,4,1,12
飯,4,1,12
棉,5,1,12
煮,5,1,12
嗎,1,1,13
想,1,1,13
新,1,1,13
會,1,1,13
當,1,1,13
像,2,1,13
愛,2,1,13
話,2,1,13
該,2,1,13
路,2,1,13
遠,2,1,13
園,3,1,13
媽,3,1,13
歲,3,1,13
睡,3,1,13
腳,3,1,13
跳,3,1,13
圓,4,1,13
搖,4,1,13
搬,4,1,13
睛,4,1,13
碗,4,1,13
蜂,4,1,13
農,4,1,13
鼠,4,1,13
對,1,1,14
說,1,1,14
麼,1,1,14
實,2,1,14
歌,2,1,14
滿,2,1,14
種,2,1,14
算,2,1,14
認,2,1,14
慢,3,1,14
碟,3,1,14
輕,3,1,14
養,3,1,14
綠,4,1,14
蜜,4,1,14
餅,4,1,14
鼻,4,1,14
齊,4,1,14
請,1,1,15
寫,2,1,15
數,2,1,15
樂,2,1,15
樣,2,1,15
誰,2,1,15
課,2,1,15
貓,2,1,15
熱,3,1,15
罷,3,1,15
談,3,1,15
豬,3,1,15
潔,4,1,15
熟,4,1,15
蝶,4,1,15
稻,5,1,15
蝴,5,1,15
學,1,1,16
還,1,1,16
興,2,1,16
錯,2,1,16
頭,2,1,16
樹,3,1,16
燈,3,1,16
親,3,1,16
操,4,1,16
橋,4,1,16
燒,4,1,16
糕,4,1,16
澡,5,1,16
燕,5,1,16
糖,5,1,16
鴨,5,1,16
幫,2,1,17
應,2,1,17
聲,2,1,17
點,2,1,17
禮,3,1,17
臉,3,1,17
蟲,4,1,18
雞,4,1,18
麗,3,1,19
聽,2,1,22
讀,2,1,22
體,2,1,22
刀,3,2,2
之,1,2,3
久,2,2,3
千,3,2,3
土,3,2,3
丈,4,2,3
寸,5,2,3
文,1,2,4
什,2,2,4
內,2,2,4
反,2,2,4
王,2,2,4
夫,3,2,4
止,3,2,4
父,3,2,4
乏,4,2,4
井,4,2,4
尺,4,2,4
斤,5,2,4
主,2,2,5
兄,2,2,5
北,2,2,5
失,2,2,5
它,2,2,5
平,2,2,5
必,2,2,5
民,2,2,5
由,2,2,5
立,2,2,5
古,3,2,5
巧,3,2,5
皮,3,2,5
仙,4,2,5
冊,4,2,5
奶,4,2,5
幼,4,2,5
汁,5,2,5
因,1,2,6
成,1,2,6
任,2,2,6
份,2,2,6
合,2,2,6
安,2,2,6
收,2,2,6
死,2,2,6
考,2,2,6
曲,3,2,6
百,3,2,6
血,3,2,6
防,3,2,6
丟,4,2,6
休,4,2,6
冰,4,2,6
危,4,2,6
吸,4,2,6
尖,4,2,6
朵,4,2,6
灰,4,2,6
伏,5,2,6
划,5,2,6
帆,5,2,6
舌,5,2,6
但,1,2,7
別,2,2,7
利,2,2,7
告,2,2,7
希,2,2,7
形,2,2,7
投,2,2,7
改,2,2,7
更,2,2,7
李,2,2,7
求,2,2,7
社,2,2,7
免,3,2,7
初,3,2,7
助,3,2,7
努,3,2,7
忘,3,2,7
抓,3,2,7
良,3,2,7
足,3,2,7
迎,3,2,7
伯,4,2,7
伴,4,2,7
伸,4,2,7
吵,4,2,7
壯,4,2,7
序,4,2,7
弃,4,2,7
抄,4,2,7
材,4,2,7
村,4,2,7
汪,4,2,7
汽,4,2,7
沈,4,2,7
沙,4,2,7
牠,4,2,7
豆,4,2,7
辛,4,2,7
吞,5,2,7
吠,5,2,7
吱,5,2,7
扮,5,2,7
抖,5,2,7
